,CDK2,ATM,AKT2,ABL1,IRAK4,PAK1,PAK2,SRC,PDK1,CDK4,CDK6,CDK5,CDK9,MAPKAPK2,AKT1,CDK7,MAP3K7,MARK2,GSK3B,JAK2,MAP2K1,MAP2K2,RET,FYN,ATR,CDC7,HIPK2,MARK3,ARAF,LATS1,SGK1,RAF1,ROCK1,ROCK2,CLK1,NEK9,DYRK2,MAP3K6,MAP2K4,MAP3K5,MAP2K6,MAP2K3,PAK4,GTF2F1,PLK1,HCK,AXL,GSK3A,MOS,PIM1,DYRK1A,BRAF,FER,ALK,MASTL
MARK3,359,1,84,224,174,39,43,89,0,105,31,184,33,189,169,114,134,189,66,204,191,163,277,197,108,346,207,0,49,90,189,47,476,21,35,1,3,234,234,234,234,234,93,23,60,23,44,157,1,222,12,27,28,28,43
ARAF,190,1,44,0,1,144,107,203,56,47,36,224,6,138,115,20,399,315,69,88,88,71,104,8,4,78,50,49,0,49,54,65,79,2,46,42,9,45,45,45,45,45,119,27,57,5,3,4,2,53,0,601,24,24,3
LATS1,18,1,55,24,11,83,76,54,5,1,7,125,1,15,55,4,103,97,77,61,54,48,72,16,17,19,27,90,49,0,50,46,68,20,6,4,45,28,28,28,28,28,57,7,20,7,3,7,33,36,0,43,32,32,162
SGK1,50,31,278,23,38,178,97,126,6,13,16,164,5,339,490,0,143,174,131,426,331,290,454,1,130,40,44,189,54,50,0,68,313,18,94,9,104,298,298,298,298,298,44,0,27,180,238,0,86,235,0,167,102,102,6
RAF1,53,78,53,24,7,4,45,14,96,46,26,188,6,106,84,0,126,120,88,8,0,0,12,45,137,47,177,47,65,46,68,0,259,840,36,50,165,8,8,8,8,8,0,16,72,2,20,0,95,0,1,229,75,75,14
ROCK1,199,87,278,177,105,151,106,117,0,58,21,317,44,365,392,0,238,235,115,380,275,237,373,92,117,121,253,476,79,68,313,259,0,159,46,11,67,155,155,155,155,155,43,0,85,43,182,87,90,227,24,137,198,198,11
ROCK2,15,45,26,26,2,0,5,0,48,18,15,109,6,39,26,0,12,11,47,0,9,13,0,38,116,9,109,21,2,20,18,840,159,0,1,57,161,0,0,0,0,0,12,13,38,5,8,2,117,2,0,13,47,47,9
CLK1,79,2,0,0,24,0,27,79,160,118,98,59,10,58,26,18,68,88,100,12,10,5,51,5,35,213,11,35,46,6,94,36,46,1,0,10,24,143,143,143,143,143,2,0,0,8,6,10,0,6,0,156,1,1,6
NEK9,4,3,46,26,16,30,2,38,12,6,6,11,7,71,32,11,30,12,0,24,33,22,17,7,10,48,0,1,42,4,9,50,11,57,10,0,1,2,2,2,2,2,78,1,1,8,0,15,47,20,0,0,5,5,5
DYRK2,0,96,300,0,6,92,102,70,0,66,37,264,23,142,249,65,29,26,148,105,66,58,94,8,135,1,0,3,9,45,104,165,67,161,24,1,0,32,32,32,32,32,0,1,87,18,54,52,217,28,0,38,48,48,8
MAP3K6,36,5,143,152,97,38,103,188,1,50,12,212,2,168,218,0,133,171,47,267,218,176,597,165,52,70,9,234,45,28,298,8,155,0,143,2,32,0,999,999,999,999,1,1,6,59,95,4,39,270,3,80,52,52,176
MAP2K4,36,5,143,152,97,38,103,188,1,50,12,212,2,168,218,0,133,171,47,267,218,176,597,165,52,70,9,234,45,28,298,8,155,0,143,2,32,999,0,999,999,999,1,1,6,59,95,4,39,270,3,80,52,52,176
MAP3K5,36,5,143,152,97,38,103,188,1,50,12,212,2,168,218,0,133,171,47,267,218,176,597,165,52,70,9,234,45,28,298,8,155,0,143,2,32,999,999,0,999,999,1,1,6,59,95,4,39,270,3,80,52,52,176
MAP2K6,36,5,143,152,97,38,103,188,1,50,12,212,2,168,218,0,133,171,47,267,218,176,597,165,52,70,9,234,45,28,298,8,155,0,143,2,32,999,999,999,0,999,1,1,6,59,95,4,39,270,3,80,52,52,176
MAP2K3,36,5,143,152,97,38,103,188,1,50,12,212,2,168,218,0,133,171,47,267,218,176,597,165,52,70,9,234,45,28,298,8,155,0,143,2,32,999,999,999,999,0,1,1,6,59,95,4,39,270,3,80,52,52,176
PAK4,98,0,0,15,13,28,0,124,11,85,61,27,17,138,25,28,97,98,38,14,12,10,15,5,10,33,72,93,119,57,44,0,43,12,2,78,0,1,1,1,1,1,0,60,37,13,0,3,0,37,11,33,17,17,11
GTF2F1,94,23,5,0,4,0,44,59,2,91,33,23,25,6,2,119,64,80,43,3,9,12,0,5,1,53,105,23,27,7,0,16,0,13,0,1,1,1,1,1,1,1,60,0,4,1,1,5,9,38,1,5,8,8,4
PLK1,217,16,158,12,51,79,54,95,13,261,80,196,129,200,233,9,83,99,122,45,41,31,37,9,38,36,115,60,57,20,27,72,85,38,0,1,87,6,6,6,6,6,37,4,0,0,11,48,64,25,17,25,18,18,24
HCK,31,3,153,46,8,1,124,8,18,6,56,9,29,23,68,2,0,11,5,157,44,33,82,33,0,12,1,23,5,7,180,2,43,5,8,8,18,59,59,59,59,59,13,1,0,0,590,0,76,1,1,16,28,28,6
AXL,0,34,226,61,4,46,137,64,7,3,52,54,6,123,146,16,15,39,56,329,69,57,227,28,35,0,45,44,3,3,238,20,182,8,6,0,54,95,95,95,95,95,0,1,11,590,0,0,180,56,1,62,576,576,22
GSK3A,127,0,0,14,37,5,35,16,0,20,0,32,13,17,1,134,42,27,56,6,14,14,7,13,4,98,127,157,4,7,0,0,87,2,10,15,52,4,4,4,4,4,3,5,48,0,0,0,0,48,131,0,2,2,1
MOS,0,84,296,6,0,42,26,116,4,21,0,134,1,100,175,43,12,11,205,112,36,27,93,17,114,4,1,1,2,33,86,95,90,117,0,47,217,39,39,39,39,39,0,9,64,76,180,0,0,50,15,5,139,139,19
PIM1,103,17,139,79,57,146,13,118,38,28,1,126,17,243,279,0,93,78,64,408,400,399,488,31,16,49,75,222,53,36,235,0,227,2,6,20,28,270,270,270,270,270,37,38,25,1,56,48,50,0,0,15,108,108,25
DYRK1A,82,15,2,15,10,2,8,0,5,78,7,0,73,5,2,20,1,5,37,0,1,0,0,18,1,42,35,12,0,0,0,1,24,0,0,0,0,3,3,3,3,3,11,1,17,1,1,131,15,0,0,0,0,0,18
BRAF,41,38,66,1,0,81,158,60,72,23,12,148,10,137,135,5,354,321,43,93,55,43,112,14,13,54,72,27,601,43,167,229,137,13,156,0,38,80,80,80,80,80,33,5,25,16,62,0,5,15,0,0,65,65,3
FER,42,52,112,26,0,85,45,89,0,31,12,66,2,148,104,22,28,38,84,231,36,33,197,5,89,9,85,28,24,32,102,75,198,47,1,5,48,52,52,52,52,52,17,8,18,28,576,2,139,108,0,65,0,1000,23
ALK,42,52,112,26,0,85,45,89,0,31,12,66,2,148,104,22,28,38,84,231,36,33,197,5,89,9,85,28,24,32,102,75,198,47,1,5,48,52,52,52,52,52,17,8,18,28,576,2,139,108,0,65,1000,0,23
MASTL,1,32,21,204,17,0,74,3,1,13,2,8,14,5,7,0,22,19,8,18,8,7,70,251,1,4,0,43,3,162,6,14,11,9,6,5,8,176,176,176,176,176,11,4,24,6,22,1,19,25,18,3,23,23,0
