TNFRSF10B	FADD
LRDD	FADD
DEDD	FADD
TNFRSF10A	FADD
DAPK1	FADD
MOBKL3	FADD
MBD4	FADD
XPO5	FADD
MYD88	FADD
ABCA1	XPC
TDG	XPC
ERCC3	XPC
CETN2	XPC
RAD23B	XPC
DDB2	XPC
LSM3	XPC
RAD23A	XPC
CDK5RAP2	ABCA2
ABCA2	CDK5RAP2
PTN	CDK5RAP2
KAT5	CDK5RAP2
CDK5R1	CDK5RAP2
LUC7L2	CDK5RAP2
C14orf1	CDK5RAP2
CRMP1	CDK5RAP2
EEF1G	CDK5RAP2
CDK5	CDK5RAP2
C7orf64	CDK5RAP2
HAP1	CDK5RAP2
ZNF259	CDK5RAP2
MAGEH1	CDK5RAP2
SENP2	CDK5RAP2
STARD9	CDK5RAP2
TBC1D4	CDK5RAP2
FECH	ABCB7
ABCB7	FECH
EIF6	ABCF1
ABCF1	EIF6
SORBS1	EIF6
ACTG1	EIF6
POLA2	EIF6
GIT1	EIF6
PRKCB	EIF6
HIP1	EIF6
ARF6	EIF6
FHL2	EIF6
ALDH2	EIF6
ITGB4	EIF6
C1orf103	EIF6
GNB2L1	EIF6
YARS	EIF6
KIAA1377	EIF6
BCCIP	EIF6
PAICS	EIF6
PSME1	EIF6
MRPS31	EIF6
FIBP	EIF6
USP33	EIF6
PDHA1	EIF6
ENOX1	EIF6
CRELD1	EIF6
EIF3B	EIF6
RPL6	EIF6
EIF3C	EIF6
FUS	EIF6
RGS10	EIF6
HAS1	EIF6
UPF3B	EIF6
EIF3J	EIF6
ACAP3	EIF6
C4orf27	EIF6
3-Sep	EIF6
FUNDC2	EIF6
WFS1	EIF6
AKT1S1	EIF6
OFD1	EIF6
GTPBP4	EIF6
RPL21P97	EIF6
OAT	EIF6
RRP15	EIF6
RPL3	EIF6
RPL34	EIF6
NPEPPS	EIF6
CNGB1	ABCA4
ABCA4	CNGB1
PRPH2	CNGB1
APP	ABL1
SH3BP1	ABL1
BCR	ABL1
CREB1	ABL1
ABI2	ABL1
ZAP70	ABL1
BCAR1	ABL1
CRKL	ABL1
GRB2	ABL1
NCK1	ABL1
SHC1	ABL1
SOS1	ABL1
RB1	ABL1
PIK3R1	ABL1
NEDD9	ABL1
PTPN6	ABL1
RYBP	ABL1
GRB10	ABL1
DOK1	ABL1
ABI1	ABL1
ATM	ABL1
SORBS2	ABL1
PRKDC	ABL1
SHD	ABL1
SHE	ABL1
PAG1	ABL1
HCK	ABL1
RFX1	ABL1
SPTA1	ABL1
SPTAN1	ABL1
ST5	ABL1
JAK1	ABL1
XRCC6	ABL1
SLC9A2	ABL1
INPPL1	ABL1
RAD51	ABL1
TP73	ABL1
TUB	ABL1
ATR	ABL1
TP53	ABL1
NTRK1	ABL1
PLCG1	ABL1
MTOR	ABL1
EVL	ABL1
PAK2	ABL1
PSTPIP1	ABL1
SORBS1	ABL1
TERF1	ABL1
RAN	ABL1
ARHGAP17	ABL1
EPHB2	ABL1
EPHA3	ABL1
SRC	ABL1
CBL	ABL1
VAV1	ABL1
MICAL1	ABL1
CABLES2	ABL1
RAD9A	ABL1
ZDHHC16	ABL1
BRCA1	ABL1
MDM2	ABL1
ABL2	ABL1
CAT	ABL1
GPX1	ABL1
YTHDC1	ABL1
PXN	ABL1
C3	ABL1
NCF1C	ABL1
CTNND2	ABL1
ROS1	ABL1
RIN1	ABL1
MAP4K5	ABL1
NCSTN	ABL1
ADAM15	ABL1
YWHAD	ABL1
CRK	ABL1
PDE4D	ABL1
GRIN2D	ABL1
APBB1	ABL1
CASP9	ABL1
RAD52	ABL1
ROBO1	ABL1
SH3BP2	ABL1
YWHAH	ABL1
WASF1	ABL1
PLSCR1	ABL1
DOK3	ABL1
BIN1	ABL1
RASA1	ABL1
ABL1	SH3BP1
HCK	SH3BP1
SRC	SH3BP1
CRK	SH3BP1
RAC1	SH3BP1
SYNJ1	SH3BP1
RHOA	SH3BP1
YWHAZ	BCR
ABL1	BCR
CRKL	BCR
GRB2	BCR
SHC1	BCR
SOS1	BCR
RB1	BCR
PTPN6	BCR
GRB10	BCR
HCK	BCR
TP53	BCR
PLCG1	BCR
SRC	BCR
CBL	BCR
VAV1	BCR
ABL2	BCR
PXN	BCR
MAP4K5	BCR
RASA1	BCR
TLN1	BCR
RAC1	BCR
MLLT4	BCR
JAK2	BCR
GAB2	BCR
IGSF21	BCR
UNC119	BCR
RHOA	BCR
CDC42	BCR
NCK2	BCR
ERCC3	BCR
BLK	BCR
FES	BCR
PIK3CG	BCR
KIT	BCR
IL3	BCR
HOXA9	BCR
PTPN11	BCR
CREBBP	CREB1
ABL1	CREB1
ATM	CREB1
TP53	CREB1
BRCA1	CREB1
PRKACA	CREB1
VIM	CREB1
CAMK2A	CREB1
KAT5	CREB1
NR3C1	CREB1
CHD3	CREB1
THRA	CREB1
GTF2F2	CREB1
FHL2	CREB1
MAPK14	CREB1
C14orf1	CREB1
EP300	CREB1
CEBPB	CREB1
CCND1	CREB1
ATF1	CREB1
HNF1B	CREB1
FOSL1	CREB1
EDF1	CREB1
RPS6KA5	CREB1
RBBP4	CREB1
RAB1A	CREB1
KCNIP3	CREB1
CREM	CREB1
FHL3	CREB1
YY1	CREB1
RPS6KA4	CREB1
GLI2	CREB1
FHL5	CREB1
RECQL5	CREB1
NR4A2	CREB1
CYP19A1	CREB1
PDX1	CREB1
DYRK1A	CREB1
CRTC1	CREB1
ADAM19	ABI2
ABL1	ABI2
VCL	ABI2
UBC	ABI2
TRIM32	ABI2
NCK2	ABI2
PCM1	ABI2
SH3KBP1	ABI2
SNAP23	ABI2
KRT19	ABI2
CCDC53	ABI2
KRT15	ABI2
KRT20	ABI2
VPS37C	ABI2
IFT20	ABI2
ABL1	ZAP70
CRKL	ZAP70
GRB2	ZAP70
SHC1	ZAP70
SOS1	ZAP70
PTPN6	ZAP70
PAG1	ZAP70
PLCG1	ZAP70
CBL	ZAP70
VAV1	ZAP70
CRK	ZAP70
SH3BP2	ZAP70
RASA1	ZAP70
ACP1	ZAP70
LCK	ZAP70
FYN	ZAP70
UBC	ZAP70
GAB2	ZAP70
TUBA4A	ZAP70
FCGR3A	ZAP70
CBLB	ZAP70
DBNL	ZAP70
CD5	ZAP70
LCP2	ZAP70
SLA	ZAP70
PTK2B	ZAP70
SLA2	ZAP70
PTPRC	ZAP70
CD4	ZAP70
CD247	ZAP70
CD3E	ZAP70
LAT	ZAP70
