Proteins	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
'ABTB2'	1	0.96727633	0.938221197	1.036701101	1.028826708	0.940174203	0.904379378	0.891310496	0.919550046	0.963261894	0.935623498	1.00486382	0.940826108	1.016070143	0.879649076	0.882702996	0.824733549	0.804966138
'ACADS'	0.992404375	0.972654947	0.986916546	1.118061851	1.064370182	1.047536127	1.121943481	1.041021598	1.135242102	1.086734863	1.058484395	0.992404375	0.992404375	1	0.97874165	1.033830736	1.012554807	1.016774673
'ACAP2'	0.87539133	0.89564567	0.950000383	0.688725023	0.776468875	0.833353207	1.105730653	1.011853201	1.00695555	0.855002178	1.050444544	1.041743429	0.998614666	1.089752112	1.273677475	1.016774673	0.949342121	0.990342872
'ACBD6'	0.965267025	0.97063447	1	1.065846736	1.066585781	0.998614666	0.964598185	1.00556058	1.020304659	0.844400887	0.89688816	0.964598185	0.975355462	0.990342872	0.860352631	0.940174203	0.872967591	0.940826108
'ACD'	1.036701101	1.080725402	1.056285625	1.162314108	1.188383105	0.974004269	0.870550563	0.909408252	0.951977908	0.872967591	1.150291893	0.988970916	0.918276162	1.07549439	0.881480158	1.119612889	0.986916546	1.125058485
'ACL6A'	1.044635763	0.988285652	0.986916546	1.122721422	1.098092814	0.988285652	0.947370071	0.920187651	1.01395948	1.072516617	1.043911927	1.064370182	1.048262476	1.017479692	0.991716731	0.961260928	0.989656656	0.962594443
'ACLY'	0.965936329	0.901875378	0.864537231	1.125838586	1.172022284	1.044635763	0.883927531	0.902500727	0.948684315	1.000693387	0.812252396	0.89688816	0.948026965	1.071030823	0.989656656	0.942131274	0.981459064	0.976031761
'ACON'	0.938871747	0.980099415	1.043911927	0.948684315	0.944747041	0.971980988	1.072516617	1.036701101	1.143138335	1.065108203	0.993092495	0.974679631	1.029540083	1.0181852	0.847332435	0.973329374	0.864537231	0.877213549
'ACOT8'	1.060687741	1.020304659	0.993092495	1.091263877	1.049716684	1.050444544	1.00556058	1.036701101	1.026689546	0.981459064	0.994470169	0.974679631	1.0238469	1.0238469	1.011853201	0.925304428	0.892546971	0.918276162
'ACOX3'	0.986916546	1.030253954	0.979420298	1.0453601	1.202469249	1.047536127	1.049716684	0.988285652	0.959929261	1.133669413	1.033830736	1.062159186	0.971980988	1.052631155	0.925946023	1.038859103	1.172022284	1.156688184
'ACPH'	0.90312651	0.964598185	0.889458994	1.121166078	1.255271991	1.065846736	0.940826108	0.855002178	0.895025071	1.240567298	1.278099363	1.209994089	1.000693387	1.074004472	1.074004472	1.041743429	1.337000495	1.28877463
'ACSA'	0.956608158	0.980099415	1.042465761	1.064370182	1.016774673	1.104964485	0.999307093	0.97874165	1.01395948	1.07997656	1.082975046	1.094293701	1.030968319	1.057018041	1.011853201	1.028826708	1.017479692	1.063632673
'ACSF2'	0.877821798	0.90000193	0.945402117	0.902500727	0.967947027	1.209994089	0.914465089	0.85797053	0.951977908	0.948026965	1.012554807	0.986916546	1.587767862	0.940174203	0.915733686	1.094293701	1.10343374	0.984866443
'ACSL1'	0.997922719	0.997231251	0.96727633	1.10343374	1.004167543	0.934975198	1.086734863	1.008352455	1.048989328	1.076240125	1.030968319	1.107264584	0.980099415	1.10343374	1.17609125	1.141554707	1.128964405	1.112650121
'ACSL3'	1.0132569	0.999307093	1.014662547	0.936272247	0.89564567	0.979420298	1.048989328	0.959264119	1.026689546	1.001387256	0.916368645	0.929804943	1.041743429	1	0.938871747	1.072516617	1.083725967	1.061423209
'ACTN1'	1.029540083	0.983502074	0.929160674	1.091263877	1.108800644	1.057018041	1.010451446	0.97874165	1.021012126	0.829319546	0.84264683	0.928516852	1.068065408	1.002776436	0.833931044	0.981459064	0.86154616	0.883315051
'ACTN4'	1.0181852	1.00765376	1.002081605	0.874784765	0.788400174	0.999307093	1.157490217	1.054091423	1.143930973	1.035264924	1.020304659	1.012554807	1.021720083	1.008352455	0.994470169	0.984184022	0.980099415	0.988285652
'ACTZ'	0.951318276	0.958599438	0.996540263	1.011152081	0.96727633	0.971980988	1.036701101	1.061423209	1.030968319	1.008352455	1.102669163	1.018891197	0.996540263	0.993092495	0.942784536	0.976708529	0.960594864	0.961927455
'ADA10'	1.010451446	1.065846736	1.053361036	1.063632673	1.061423209	1.098854218	0.972654947	0.987600861	0.961927455	0.940826108	0.965936329	0.944092419	0.940174203	0.926588062	0.892546971	1.012554807	0.980779004	0.976708529
'ADA17'	1	1.0238469	0.993781093	1.22010051	1.247465572	0.962594443	0.996540263	1.011152081	1.0453601	0.997231251	0.865736566	0.941478465	0.994470169	0.950659101	0.950000383	1.076240125	1.027401439	1.04608494
'ADAM9'	1.056285625	1.043188594	0.96727633	1.185914499	1.194163187	0.908778116	0.901875378	0.818469182	0.879649076	1.154285418	1.00695555	1.020304659	1.002081605	1.00556058	1.054091423	1.096571589	1.163120042	1.060687741
'ADAS'	0.97874165	1.022428531	1.059218335	1.125838586	1.129747215	1.062895674	1.065846736	1.051172909	1.037419937	1.000693387	1.025267238	1.071773463	1.043911927	1.059952783	0.940174203	1.069547088	1.087488391	1.097331938
'ADAT1'	1.093535457	1.016070143	0.976708529	1.092777739	1.148698355	1.033830736	0.994470169	1.00765376	1.032398535	0.821880187	0.837987135	0.889458994	0.971980988	1.026689546	0.857376037	1.07549439	1.008352455	0.999307093
'ADCYA'	1.026689546	1.062159186	1.094293701	0.993781093	1.014662547	1.121943481	1.121166078	1.137605228	1.076986376	0.971980988	0.986916546	0.887611337	0.979420298	0.947370071	0.954621014	1.043188594	0.986232704	1.0238469
'ADNP'	1.038139271	1.008352455	0.971307496	0.991029563	0.959264119	1.028113827	1.027401439	0.980099415	1.055553718	1.069547088	0.999307093	1.01395948	1.015366101	0.976031761	0.995849753	1.008352455	1.037419937	1.01395948
'ADNP2'	1.041021598	1.07549439	1.113421618	0.886381699	0.848507902	0.885767519	1.0453601	1.028826708	1.030968319	1.051901779	1.147902414	1.096571589	1.041743429	0.923382311	1.057750964	1.00765376	1.041743429	1.039579435
'ADRM1'	1.074749173	1.020304659	0.991029563	1.064370182	1.054091423	1.009051634	1.095811766	1.071030823	1.132883885	0.964598185	1.057750964	0.998614666	0.991716731	1.021012126	1.02313747	1.036701101	0.97874165	1.030968319
'ADX'	1.068065408	1.026689546	1.060687741	0.923382311	0.984184022	1.172834949	0.995849753	0.905633983	1.036701101	1.057018041	0.953959551	0.971980988	0.984866443	0.990342872	0.937571096	0.942131274	0.893785162	0.841479482
'AEBP2'	1.032398535	1.0132569	1.00765376	1.083725967	1.077733145	1.014662547	0.922103118	0.868742185	0.957935218	1.011152081	0.858565436	1.063632673	0.953959551	1.081474763	1.276328769	0.705637922	0.44288376	0.541112322
'AFAP1'	1.002776436	1.054822317	1.035264924	1.001387256	1.041021598	0.977385766	1.071773463	1.035264924	1.003471749	0.756283999	1.28877463	0.730522189	0.937571096	1.139973273	1.054822317	0.989656656	1.118061851	1.077733145
